,,Number,Number,Number,Area,Area,Area,Std,Std,Std,Density,Density,Density
,,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3
393,Left,213.0,170.0,197.0,859.4882629107981,1356.8764705882354,1136.2791878172588,1709.4221593759005,2756.504250472878,2042.6090479278923,0.0500776312564556,0.0630976895537543,0.0612315851438175
394,Right,96.0,104.0,77.0,4613.96875,4639.932692307692,5708.831168831169,7721.490432147799,14009.2540921609,9610.51812284551,0.1211630245443882,0.1319985753925876,0.120243649445913
394,Left,106.0,155.0,113.0,3836.896226415094,2539.3548387096776,4340.309734513275,6943.387442711563,5482.837896495384,9505.360791115689,0.1112525931793911,0.1076661823147353,0.1341601053027783
395,Right,127.0,94.0,77.0,2817.3464566929133,5198.478723404255,5858.090909090909,9299.87187604007,8415.836261041484,14922.89192569045,0.0978741946919696,0.1336682765532816,0.1233874691444477
395,Left,104.0,88.0,111.0,3548.7115384615386,5267.522727272727,4155.288288288289,6763.522778996275,11051.058506515115,8764.726422518208,0.1009550997006354,0.1267982659617303,0.1261677513523922
396,Right,98.0,96.0,129.0,2582.173469387755,2883.864583333333,1461.1627906976744,4058.150663128427,4904.315960929434,3178.1644338524484,0.0692206565886451,0.0757304121951646,0.0515599560581922
396,Left,83.0,71.0,126.0,4327.6024096385545,4316.140845070423,1815.095238095238,7922.128132318498,5453.6454473676185,3421.9477294162675,0.0982538711682218,0.0838258915285096,0.0625596321843105
397,Right,332.0,330.0,279.0,556.6807228915662,565.8424242424243,701.3906810035842,1126.5193676406825,1046.3714866930943,1439.1398115468253,0.0505555093573291,0.0510779748253707,0.0535289123089581
397,Left,374.0,307.0,290.0,491.7245989304813,522.8794788273616,612.8655172413793,1062.418032963449,990.2762744841772,1199.9753281131166,0.0503057653927627,0.0439100768543968,0.0486169162829782
398,Right,133.0,273.0,79.0,2035.375939849624,895.3956043956044,4252.430379746836,4019.6945640062704,2589.58970977655,7728.358142686538,0.0740492222650163,0.0668654588505103,0.091894290190998
398,Left,123.0,118.0,114.0,3313.878048780488,2994.6186440677966,3695.40350877193,8862.721271565804,5626.061689616984,8027.488956752545,0.1114976869277498,0.0966602147196302,0.11523673430087
399,Right,213.0,153.0,155.0,1033.7840375586854,1757.2418300653594,2024.1870967741936,2063.7263970351,4306.263478362748,4755.175545105298,0.0602328828276815,0.0735439899511563,0.0858235697029113
399,Left,210.0,183.0,174.0,1021.504761904762,1342.51912568306,1615.316091954023,1989.732458386825,2477.936878550934,2823.998065317812,0.0586791635300502,0.0672041040072827,0.0768831187304143
400,Right,104.0,107.0,128.0,3027.5,3854.11214953271,2521.90625,4618.196321307261,10762.022927718464,4125.600704411916,0.086127475009191,0.1128060389348925,0.0883004936888359
400,Left,118.0,78.0,80.0,3501.627118644068,6500.794871794872,5278.5875,7457.591187596006,14455.117842048394,8496.129880967697,0.113025419723044,0.1387028194534409,0.1155132853941632
401,Right,126.0,98.0,91.0,1594.071428571429,2316.9795918367345,3120.989010989011,3700.683759909397,5569.597969869188,7206.381156068876,0.0549417574097092,0.0621115701755921,0.0776887003028658
401,Left,117.0,135.0,155.0,2019.2649572649573,2053.185185185185,1592.9806451612903,4480.215364653266,5642.42796419433,4300.374907351545,0.0646254223490485,0.0758204075558901,0.0675408343691462
402,Right,123.0,123.0,123.0,4172.642276422765,4172.642276422765,4172.642276422765,13012.46849613048,13012.46849613048,13012.46849613048,0.1403913950210955,0.1403913950210955,0.1403913950210955
402,Left,,,,,,,,,,,,
403,Right,109.0,168.0,199.0,2603.834862385321,1097.9940476190477,795.3618090452261,7363.920459105505,2573.002641424748,1387.5420495034184,0.0776361802139318,0.0504584019012272,0.0432954276885908
403,Left,,,,,,,,,,,,
404,Right,112.0,207.0,125.0,2958.0625,1394.4734299516908,1882.016,7957.81048510074,3467.529737942258,2982.8024087122094,0.0906253282505558,0.0789595770382171,0.0643513331349241
404,Left,158.0,125.0,136.0,1195.9556962025315,1684.008,1528.0073529411766,2163.584874133393,4405.106780764286,2684.6644800264903,0.0516887944013585,0.0575808918786435,0.0568445164650478
405,Right,117.0,91.0,74.0,4678.589743589743,5288.758241758242,6704.418918918919,10247.488721089638,14448.055115051651,13719.549736018644,0.1497355941772728,0.1316495356348803,0.1357116362633707
405,Left,129.0,107.0,111.0,1466.7364341085272,2090.728971962617,2156.5855855855857,2606.9916346462087,2995.8945606118464,4367.94110738784,0.0517566328495649,0.0611935627877663,0.0654807885891353
406,Right,318.0,302.0,199.0,689.377358490566,812.884105960265,1589.3517587939698,1469.086532119476,1705.9869669415552,2863.627996071288,0.0599664527931933,0.0671521310026085,0.0865161783757287
406,Left,126.0,229.0,192.0,2326.6031746031745,1004.4759825327512,1461.5052083333333,3067.2982563275195,1978.320254968561,2345.3209226754507,0.0801894224540887,0.0629215284221214,0.076758383519196
407,Right,65.0,95.0,113.0,4205.107692307693,2989.178947368421,2269.6106194690265,7093.096060437654,6135.791812778922,4059.434719254176,0.0747678174401708,0.0776783057019309,0.0701542558778732
407,Left,119.0,94.0,125.0,2070.5966386554624,2917.86170212766,1912.84,3614.648397743636,4806.821321541625,3834.543490514245,0.0674010543407853,0.0750268618371527,0.0654052909612926
408,Right,174.0,177.0,185.0,1618.6149425287356,1709.6101694915253,1474.1513513513514,2330.167245977486,2884.2232786371383,2472.1172888865435,0.0770401319129567,0.0827741220391799,0.0745998625724339
408,Left,138.0,144.0,210.0,2275.0289855072465,2134.298611111112,1311.5047619047618,3673.550356008724,3459.845137970676,2882.476288299489,0.0858796458395336,0.0840701646504788,0.0753378792388088
409,Right,123.0,86.0,99.0,2300.0975609756097,3636.8255813953488,2376.030303030303,4673.588712052039,6200.769468744533,3963.617154576352,0.0773883510442744,0.0855549513313842,0.0643444945816774
409,Left,137.0,170.0,125.0,1868.4087591240875,1310.470588235294,2543.376,3759.290134717129,2953.900033916589,5267.490428461686,0.0700191260657201,0.0609397156912519,0.0869650610108366
410,Right,84.0,88.0,94.0,4309.809523809524,3595.5113636363635,3048.234042553192,8104.128984029542,5012.017589924088,4514.73857690048,0.0990288160221284,0.0865500975998319,0.0783791206386442
410,Left,204.0,193.0,220.0,885.6666666666666,1015.0621761658032,769.9636363636364,2015.3598479956336,2748.82806397211,1682.4546914036011,0.0494224978554297,0.0535888180353985,0.0463358484620367
411,Right,,,,,,,,,,,,
411,Left,202.0,193.0,159.0,1321.148514851485,1154.559585492228,1908.622641509434,2627.4423118713203,2238.1340809700887,3390.7257553271043,0.073000735281245,0.0609533927977451,0.0830121036921622
412,Right,125.0,136.0,129.0,1529.568,1082.7720588235295,1362.4651162790697,3301.528537335201,1655.4306990961006,2939.6249708894416,0.052300161061606,0.0402809934174821,0.0480772176607552
412,Left,260.0,343.0,205.0,583.6461538461539,349.22157434402334,906.8926829268293,1573.147642039075,932.7877872401716,2350.8885446168874,0.0415094711227044,0.0327656969415801,0.050855037989531
413,Right,115.0,112.0,107.0,2900.5913043478263,2986.151785714286,2373.7943925233644,4733.402892796868,6052.293731238263,4328.793181725934,0.0912449011746993,0.0914858917911101,0.0694786068171075
413,Left,160.0,167.0,138.0,1570.28125,1585.491017964072,2253.8695652173915,3040.8016924784097,2905.438257525416,5272.667711925416,0.0687260924178498,0.0724276645191785,0.0850809028203287
414,Right,,,,,,,,,,,,
414,Left,98.0,106.0,101.0,2629.704081632653,2297.801886792453,2334.1485148514853,5007.572027695706,3482.315828842343,4371.556693870361,0.0704948158295548,0.0666258359447488,0.0644872835734668
415,Right,116.0,107.0,139.0,3175.939655172414,3723.88785046729,2440.9208633093526,9120.298991369693,11358.335512298678,6483.600034451191,0.1007753825213144,0.1089945028973582,0.0928095621575252
415,Left,119.0,90.0,97.0,2328.806722689076,4764.888888888889,4608.98969072165,5251.100230601091,15272.958135614554,12922.770245686848,0.0758061833651371,0.1173058069711664,0.1222930270828591
416,Right,77.0,92.0,74.0,4213.077922077922,3641.478260869565,6126.743243243243,7931.712320549298,5794.822847567219,8935.59118412907,0.088738981723009,0.0916409901787433,0.1240182572959156
416,Left,97.0,93.0,64.0,3297.917525773196,3869.881720430108,7309.140625,5803.047151551257,8689.509771094386,14095.83018255634,0.0875055802594492,0.098447538996166,0.1279589052187461
