,,Number,Number,Number,Area,Area,Area,Std,Std,Std,Density,Density,Density
,,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3
393,Right,3040.0,3056.0,2997.0,94.09276315789474,93.59718586387434,91.13646980313646,69.01618105950693,70.00639001883494,67.37554710041024,0.0782445379107508,0.078242076031582,0.0747142031827173
393,Left,2972.0,2789.0,2768.0,82.31123822341857,85.87056292577985,83.4425578034682,63.5071139235369,64.16005215957334,64.71970888372796,0.0669163376866651,0.0655114253076801,0.0631797521927137
394,Right,2021.0,1838.0,2080.0,91.8985650667986,91.3373231773667,91.31971153846152,65.22054058179471,64.96221781887267,66.0140291174595,0.0508041591533761,0.0459217056774216,0.0519579598571453
394,Left,1659.0,1969.0,1770.0,84.52682338758288,78.00711020822753,78.73841807909605,61.48727425468583,61.91274471019151,60.27179764713411,0.0383588128709231,0.0420149769786943,0.0381227460128499
395,Right,1955.0,2079.0,722.0,80.1851662404092,84.77585377585378,78.6842105263158,63.06866564624325,64.20342410588303,65.43644151348157,0.0428810113618459,0.0482115268465187,0.015539928397612
395,Left,2280.0,2059.0,2010.0,84.13728070175439,84.90480815930063,83.14875621890548,64.7630779565525,60.43445454065461,61.67214702934236,0.0524744073983298,0.0478203616008123,0.0457168226221529
396,Right,2127.0,2112.0,2413.0,88.02397743300423,87.56486742424242,87.34438458350601,64.41558601832452,64.32150384236436,70.78573705663712,0.0512144723481731,0.050588060870783,0.0576522863745382
396,Left,1775.0,1954.0,2351.0,81.29859154929578,81.77482088024566,79.45555082943429,58.92334340684186,61.5771755730579,62.633507126136855,0.0394734970501216,0.0437087498468164,0.0510976698587209
397,Right,2982.0,2904.0,2854.0,78.62407780013413,81.02444903581267,81.22634898388227,68.21140351149775,69.27436817581679,67.13107898772033,0.0641338671416816,0.0643630954465082,0.0634125365452285
397,Left,3015.0,3041.0,2961.0,78.00895522388059,78.97731009536336,83.39446133063154,68.20367142383013,68.43596563864355,72.46276599605646,0.0643362883177815,0.0656966133295985,0.0675460316696136
398,Right,2091.0,2532.0,1917.0,70.48780487804878,67.98064770932069,71.302034428795,54.1769404813152,63.55995017768177,56.53127481663028,0.0403173745207541,0.0470839861872166,0.0373893795626827
398,Left,1858.0,1989.0,1908.0,78.04144241119484,71.48667672197084,73.37840670859539,66.06928287363883,60.80045741768524,57.75402514300107,0.0396638823725074,0.0388941348190682,0.0382975394338334
399,Right,3084.0,2774.0,2693.0,83.7091439688716,87.74657534246575,83.92647604901596,73.68281141973067,71.41441770443926,70.03637730819128,0.0706173627037341,0.0665826162882302,0.0618243509392342
399,Left,3151.0,2967.0,2760.0,86.97016820057125,86.84159083249074,84.61086956521739,73.44844471066868,71.09376091777212,69.47216222604092,0.0749623058945046,0.0704805916388018,0.0638791994187776
400,Right,2178.0,2021.0,2281.0,91.5169880624426,88.44928253339931,88.63963174046471,69.1405400079872,66.71239457425828,69.18336231796424,0.0545235114931461,0.0488972969660895,0.0553066626109486
400,Left,2190.0,1872.0,1683.0,93.72785388127852,94.38621794871794,94.14676173499704,71.11979676228698,67.32155883939447,66.74230684579591,0.0561483517445422,0.0483324324679189,0.0433424769349276
401,Right,2362.0,2230.0,2091.0,90.0190516511431,97.96547085201794,88.68149210903874,73.43259274119688,74.73574904555097,70.97986059050262,0.0581618953624761,0.0597588343166261,0.0507237377671959
401,Left,2474.0,2323.0,2412.0,87.92886014551334,91.25613430908308,89.62064676616916,71.37162749465371,73.36440673615289,71.1458969495394,0.0595052607622415,0.0579876490257523,0.059130234502197
402,Right,1633.0,1633.0,1633.0,82.79730557256583,82.79730557256583,82.79730557256583,63.38795652134008,63.38795652134008,63.38795652134008,0.0369850842947427,0.0369850842947427,0.0369850842947427
402,Left,,,,,,,,,,,,
403,Right,2181.0,2639.0,2852.0,96.86565795506648,93.40621447518,91.78927068723702,70.08673406972264,74.16301363986338,73.19419726106268,0.0577896045237303,0.067427861469512,0.0716086793823637
403,Left,,,,,,,,,,,,
404,Right,1508.0,1905.0,1842.0,84.12334217506631,80.49238845144357,81.63083604777415,58.85533341144552,64.64031924159825,62.875963048131794,0.0347010075103727,0.0419444031091892,0.0411308888149717
